VerbatimTweet	CleanedTweet	Predicted	Actual
At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes	point today someone says something remotely kind waterfall burst eyes	0.41753837	0.319
@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless	game day ! ! ! ! minus 14:30 relentless	0.31395736	0.144
This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards	game pissed game year. blood boiling ! time turn ! stlcards	0.6753918	0.898
@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me ðŸ˜	found candice candace. pout likes ðÿ˜	0.54822797	0.271
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ  #soreloser	ca come mum'a 60th 25k tweets ðÿ™ˆ soreloser	0.37421376	0.646
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ #bitter #soreloser	ca come mum'a 60th 25k tweets ðÿ™ˆ bitter soreloser	0.3998559	0.583
wanna go home and focus up on this game . Don't wanna rage at all	wanna go home focus game . wanna rage	0.42701763	0.375
@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” #furious	disconnected whilst holiday ðÿ˜¤ move house 1st october ðÿ¤” furious	0.44195998	0.625
@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” 	disconnected whilst holiday ðÿ˜¤ move house 1st october ðÿ¤”	0.31221506	0.396
I wanna see you smile I don't wanna see you make a frown	wanna see smile wanna see make frown	0.24765615	0.25
@shae_caitlin ur road rage gives me anxiety.	ur road rage gives anxiety.	0.50043285	0.438
@eMilsOnWheels I'm furious ðŸ˜©ðŸ˜©ðŸ˜©	furious ðÿ˜©ðÿ˜©ðÿ˜©	0.79070663	0.708
@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -	winning war raging inside mind. desire love rolling something -	0.45332927	0.333
They gonna give this KKk police bitch the minimum sentence..just wattch #angry	gonna give kkk police bitch minimum sentence..just wattch angry	0.71198237	0.877
They gonna give this KKk police bitch the minimum sentence..just wattch 	gonna give kkk police bitch minimum sentence..just wattch	0.56215316	0.708
I just got murdered in madden. ðŸ¤•	got murdered madden. ðÿ¤•	0.5320859	0.417
My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©	nephew sees frown face tells 'you beautiful ' !ðÿ˜¢ðÿ’žðÿ˜©	0.44109896	0.229
@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction	sister dog this. think knows provoke reaction	0.39612976	0.375
new madden 16 video was gonna be up but xbox is being an ahole and not going through ðŸ™„ðŸ™„ #struggles	new madden 16 video gonna xbox ahole going ðÿ™„ðÿ™„ struggles	0.47312495	0.667
The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.	animosity toward hillary comes conspiracy theories perception animosity toward trump based says does.	0.40003222	0.354
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry	yay bmth canceled melbourne show fanfuckingtastic lost days pay hotel fees happy atm sad angry	0.6932922	0.812
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad 	yay bmth canceled melbourne show fanfuckingtastic lost days pay hotel fees happy atm sad	0.52173555	0.562
